Dataset,Feature,# of data points,# non-constant descriptors,Fisher Separability ID
CHEMBL260,embed,2833,16,2.797178592411338
CHEMBL260,mfp_r2_1024,2833,1024,8.74740408768144
CHEMBL260,maccs_keys,2833,143,7.720130974650159
CHEMBL261,embed,4376,16,2.520535731001929
CHEMBL261,mfp_r2_1024,4376,1024,9.704011140512504
CHEMBL261,maccs_keys,4376,153,6.5095091387326285
CHEMBL262,embed,2154,16,3.663661212232666
CHEMBL262,mfp_r2_1024,2154,1021,9.535812849380438
CHEMBL262,maccs_keys,2154,147,7.496296413283646
CHEMBL263,embed,321,16,2.5832662872073096
CHEMBL263,mfp_r2_1024,321,864,6.631627968288616
CHEMBL263,maccs_keys,321,129,4.913397227594211
CHEMBL264,embed,2874,16,2.7292847906649955
CHEMBL264,mfp_r2_1024,2874,1022,9.060698709988236
CHEMBL264,maccs_keys,2874,146,6.870989618386776
CHEMBL265,embed,565,16,2.5082031961602977
CHEMBL265,mfp_r2_1024,565,947,8.097189329511812
CHEMBL265,maccs_keys,565,144,5.591106325513128
CHEMBL267,embed,2341,16,3.5688027382252523
CHEMBL267,mfp_r2_1024,2341,1022,7.601448124279196
CHEMBL267,maccs_keys,2341,149,6.332044426695908
CHEMBL268,embed,1127,16,2.5959896714188995
CHEMBL268,mfp_r2_1024,1127,1002,7.95856495654098
CHEMBL268,maccs_keys,1127,139,5.957944214171958
CHEMBL269,embed,1076,16,1.8164646757020275
CHEMBL269,mfp_r2_1024,1076,1000,6.658340991822792
CHEMBL269,maccs_keys,1076,138,5.609617563847797
CHEMBL270,embed,1571,16,1.8151371840737385
CHEMBL270,mfp_r2_1024,1571,1015,6.718486126021283
CHEMBL270,maccs_keys,1571,143,6.051663683366469
CHEMBL273,embed,2731,16,2.760798566056802
CHEMBL273,mfp_r2_1024,2731,1022,9.104226611092278
CHEMBL273,maccs_keys,2731,149,7.107339263884072
CHEMBL274,embed,1420,16,1.912079439112379
CHEMBL274,mfp_r2_1024,1420,1018,7.597801901026886
CHEMBL274,maccs_keys,1420,144,5.511447705805876
CHEMBL275,embed,1135,16,1.835538962270016
CHEMBL275,mfp_r2_1024,1135,1013,7.82025938892134
CHEMBL275,maccs_keys,1135,138,5.9857430800819404
CHEMBL276,embed,571,16,2.6228659691999447
CHEMBL276,mfp_r2_1024,571,954,7.67041198607577
CHEMBL276,maccs_keys,571,144,5.51455122165427
CHEMBL278,embed,133,16,1.7585167157263035
CHEMBL278,mfp_r2_1024,133,648,5.928068959980156
CHEMBL278,maccs_keys,133,131,3.267646809929832
CHEMBL279,embed,6559,16,3.6338864958793855
CHEMBL279,mfp_r2_1024,6559,1024,8.976898189393902
CHEMBL279,maccs_keys,6559,152,8.026612748504087
CHEMBL280,embed,1722,16,2.753692793083112
CHEMBL280,mfp_r2_1024,1722,1022,8.604144621237937
CHEMBL280,maccs_keys,1722,145,6.030135192433403
CHEMBL281,embed,884,16,2.2337409544093845
CHEMBL281,mfp_r2_1024,884,837,7.934798329104066
CHEMBL281,maccs_keys,884,108,6.133051503192471
CHEMBL283,embed,1555,16,2.4239266246984217
CHEMBL283,mfp_r2_1024,1555,1019,7.939177642812165
CHEMBL283,maccs_keys,1555,149,6.440220695813611
CHEMBL284,embed,2860,16,1.9057131424280875
CHEMBL284,mfp_r2_1024,2860,1024,9.10411696194136
CHEMBL284,maccs_keys,2860,148,6.982658517196021
CHEMBL285,embed,551,16,1.7935146678817022
CHEMBL285,mfp_r2_1024,551,944,6.986347827001496
CHEMBL285,maccs_keys,551,145,4.671781690537936
CHEMBL286,embed,2156,16,1.7850605173267935
CHEMBL286,mfp_r2_1024,2156,1022,6.191526884601581
CHEMBL286,maccs_keys,2156,144,5.841648447039455
CHEMBL287,embed,1478,16,2.68335683369956
CHEMBL287,mfp_r2_1024,1478,1015,9.37840850137832
CHEMBL287,maccs_keys,1478,143,6.089768343207914
CHEMBL288,embed,460,16,2.6458729084131614
CHEMBL288,mfp_r2_1024,460,939,7.144645447545134
CHEMBL288,maccs_keys,460,141,5.456392283340209
CHEMBL289,embed,2031,16,2.8099470754119675
CHEMBL289,mfp_r2_1024,2031,1024,8.602678331422162
CHEMBL289,maccs_keys,2031,150,7.183183687433911
CHEMBL298,embed,903,16,2.230278263164521
CHEMBL298,mfp_r2_1024,903,954,5.733239860318669
CHEMBL298,maccs_keys,903,140,5.117516020669835
CHEMBL299,embed,512,16,2.588110300988857
CHEMBL299,mfp_r2_1024,512,984,7.103515161554398
CHEMBL299,maccs_keys,512,146,4.241888987350847
CHEMBL301,embed,1606,16,2.791480647586175
CHEMBL301,mfp_r2_1024,1606,1022,9.135411327785867
CHEMBL301,maccs_keys,1606,148,6.80474161876855
CHEMBL302,embed,1284,16,3.5096062983270477
CHEMBL302,mfp_r2_1024,1284,1009,7.744200588169461
CHEMBL302,maccs_keys,1284,146,5.78009020383892
CHEMBL304,embed,798,16,2.776976608791516
CHEMBL304,mfp_r2_1024,798,957,8.355538734245162
CHEMBL304,maccs_keys,798,138,6.202516936437903
CHEMBL308,embed,967,16,2.707081544701736
CHEMBL308,mfp_r2_1024,967,1010,8.295831540583762
CHEMBL308,maccs_keys,967,143,6.125242606654834
CHEMBL309,embed,335,16,1.6811798699957872
CHEMBL309,mfp_r2_1024,335,895,6.726954195003922
CHEMBL309,maccs_keys,335,144,5.016482907788098
CHEMBL311,embed,325,16,2.4846921644634965
CHEMBL311,mfp_r2_1024,325,792,7.07173000401538
CHEMBL311,maccs_keys,325,137,4.908057513328526
CHEMBL312,embed,1283,16,3.289882937766624
CHEMBL312,mfp_r2_1024,1283,1010,8.225197262670184
CHEMBL312,maccs_keys,1283,144,5.786126047732059
CHEMBL313,embed,2237,16,2.8242564653586584
CHEMBL313,mfp_r2_1024,2237,1021,8.379522047751355
CHEMBL313,maccs_keys,2237,143,7.083657190942245
CHEMBL315,embed,203,16,2.6770648350466733
CHEMBL315,mfp_r2_1024,203,884,7.252522679261287
CHEMBL315,maccs_keys,203,133,5.541049779845771
CHEMBL318,embed,1954,16,2.703483893290747
CHEMBL318,mfp_r2_1024,1954,1018,7.8864301650853905
CHEMBL318,maccs_keys,1954,152,5.230557662301777
CHEMBL319,embed,410,16,1.8370580334604696
CHEMBL319,mfp_r2_1024,410,951,7.489961932836009
CHEMBL319,maccs_keys,410,138,4.893505402397344
CHEMBL321,embed,1995,16,2.5263646662071166
CHEMBL321,mfp_r2_1024,1995,1023,8.371103222392799
CHEMBL321,maccs_keys,1995,149,6.402552399514407
CHEMBL322,embed,1145,16,2.7283403405550373
CHEMBL322,mfp_r2_1024,1145,1002,8.430843053577807
CHEMBL322,maccs_keys,1145,145,6.282742510097508
CHEMBL323,embed,114,16,2.91942458305737
CHEMBL323,mfp_r2_1024,114,490,7.077627372945986
CHEMBL323,maccs_keys,114,109,3.862024262605999
CHEMBL324,embed,421,16,2.6223709801119943
CHEMBL324,mfp_r2_1024,421,880,7.721708796610609
CHEMBL324,maccs_keys,421,136,5.099250231815684
CHEMBL325,embed,3600,16,2.6171977577988548
CHEMBL325,mfp_r2_1024,3600,1023,8.981665217981945
CHEMBL325,maccs_keys,3600,153,7.650106342895088
CHEMBL326,embed,400,16,1.8765846933375292
CHEMBL326,mfp_r2_1024,400,883,7.833416888683508
CHEMBL326,maccs_keys,400,138,4.214938160377207
CHEMBL330,embed,468,16,2.519703115192615
CHEMBL330,mfp_r2_1024,468,894,8.601366778462237
CHEMBL330,maccs_keys,468,140,5.9051872096874085
CHEMBL331,embed,641,16,1.7196307138503162
CHEMBL331,mfp_r2_1024,641,947,7.111704666362359
CHEMBL331,maccs_keys,641,139,5.449529370156794
CHEMBL332,embed,1977,16,2.3913409419083056
CHEMBL332,mfp_r2_1024,1977,1020,7.956009858250697
CHEMBL332,maccs_keys,1977,146,6.190121372678488
CHEMBL333,embed,2915,16,2.586216430376135
CHEMBL333,mfp_r2_1024,2915,1024,8.509591040986818
CHEMBL333,maccs_keys,2915,150,6.924382802543981
CHEMBL335,embed,2279,16,1.7936442147157574
CHEMBL335,mfp_r2_1024,2279,1024,8.002191293478628
CHEMBL335,maccs_keys,2279,152,6.001843407457793
CHEMBL338,embed,1949,16,2.7551532278008914
CHEMBL338,mfp_r2_1024,1949,1015,8.688712779631345
CHEMBL338,maccs_keys,1949,145,7.085867852185721
CHEMBL339,embed,2636,16,2.8072698055275698
CHEMBL339,mfp_r2_1024,2636,1024,9.352671368399651
CHEMBL339,maccs_keys,2636,148,6.964362357742302
CHEMBL340,embed,3746,16,2.822759611144729
CHEMBL340,mfp_r2_1024,3746,1024,7.387202929099348
CHEMBL340,maccs_keys,3746,150,7.1288869273276845
CHEMBL344,embed,2452,16,2.816733088195423
CHEMBL344,mfp_r2_1024,2452,1021,7.964549769074713
CHEMBL344,maccs_keys,2452,142,7.039888690645998
CHEMBL401,embed,91,16,1.62978177633882
CHEMBL401,mfp_r2_1024,91,585,6.1038477873094426
CHEMBL401,maccs_keys,91,131,3.544232439330359
CHEMBL402,embed,162,16,2.344394958978997
CHEMBL402,mfp_r2_1024,162,719,5.914834269128209
CHEMBL402,maccs_keys,162,122,4.058223580296152
CHEMBL1781,embed,266,16,2.525337214121129
CHEMBL1781,mfp_r2_1024,266,860,5.524603928947764
CHEMBL1781,maccs_keys,266,144,3.835327628385584
CHEMBL1782,embed,209,16,2.2900995354444387
CHEMBL1782,mfp_r2_1024,209,657,6.387005643687539
CHEMBL1782,maccs_keys,209,119,4.882062313786729
CHEMBL1784,embed,235,16,1.820439436501867
CHEMBL1784,mfp_r2_1024,235,783,4.195826240666282
CHEMBL1784,maccs_keys,235,127,3.0764486295781777
CHEMBL1785,embed,526,16,2.4909776258685508
CHEMBL1785,mfp_r2_1024,526,901,5.9633523826137695
CHEMBL1785,maccs_keys,526,135,3.445837037233742
CHEMBL1790,embed,382,16,2.4787308012261997
CHEMBL1790,mfp_r2_1024,382,868,4.667599999836679
CHEMBL1790,maccs_keys,382,138,4.627147198949917
CHEMBL1792,embed,348,16,2.575539463827794
CHEMBL1792,mfp_r2_1024,348,866,4.999642975047916
CHEMBL1792,maccs_keys,348,125,4.231072586615926
CHEMBL1798,embed,147,16,2.9414660173403613
CHEMBL1798,mfp_r2_1024,147,688,5.57175323041577
CHEMBL1798,maccs_keys,147,121,4.21411800262641
CHEMBL1800,embed,1099,16,2.5369626304958683
CHEMBL1800,mfp_r2_1024,1099,970,8.013879626903577
CHEMBL1800,maccs_keys,1099,132,5.869688984816985
CHEMBL1801,embed,776,16,2.8073990384352645
CHEMBL1801,mfp_r2_1024,776,1003,7.04503289291421
CHEMBL1801,maccs_keys,776,147,5.052959640819876
CHEMBL1804,embed,294,16,1.8145744224661795
CHEMBL1804,mfp_r2_1024,294,840,5.394749761332092
CHEMBL1804,maccs_keys,294,126,4.008483390888643
CHEMBL1808,embed,477,16,2.435786483383083
CHEMBL1808,mfp_r2_1024,477,882,8.043677973509197
CHEMBL1808,maccs_keys,477,137,6.440196891003345
CHEMBL1809,embed,394,16,1.7635369308122295
CHEMBL1809,mfp_r2_1024,394,811,7.66427854070159
CHEMBL1809,maccs_keys,394,138,5.475880798276614
CHEMBL1811,embed,471,16,3.0939025871921606
CHEMBL1811,mfp_r2_1024,471,863,7.257024752930702
CHEMBL1811,maccs_keys,471,132,3.896237362171718
CHEMBL1820,embed,80,16,2.060235102370086
CHEMBL1820,mfp_r2_1024,80,460,5.572946168418964
CHEMBL1820,maccs_keys,80,101,3.8067621441923305
CHEMBL1821,embed,787,16,2.5082574199652687
CHEMBL1821,mfp_r2_1024,787,1001,7.545405193531426
CHEMBL1821,maccs_keys,787,149,5.720653789391564
CHEMBL1822,embed,114,16,2.0745380806432143
CHEMBL1822,mfp_r2_1024,114,579,6.089394654212133
CHEMBL1822,maccs_keys,114,130,3.107508544469669
CHEMBL1824,embed,1551,16,2.6913763035436804
CHEMBL1824,mfp_r2_1024,1551,1020,7.69344036808742
CHEMBL1824,maccs_keys,1551,149,6.644821978425564
CHEMBL1825,embed,305,16,2.686288168825655
CHEMBL1825,mfp_r2_1024,305,923,7.0761380858967975
CHEMBL1825,maccs_keys,305,138,5.551903945954392
CHEMBL1827,embed,1102,16,2.734429202497565
CHEMBL1827,mfp_r2_1024,1102,1009,7.509949951207812
CHEMBL1827,maccs_keys,1102,141,5.388105220618919
CHEMBL1829,embed,933,16,2.582390288636281
CHEMBL1829,mfp_r2_1024,933,1003,7.916456079921917
CHEMBL1829,maccs_keys,933,143,6.300786032801272
CHEMBL1833,embed,1132,16,2.7683508342041776
CHEMBL1833,mfp_r2_1024,1132,1017,8.768005987920457
CHEMBL1833,maccs_keys,1132,143,5.782935775918007
CHEMBL1835,embed,649,16,2.546972051249886
CHEMBL1835,mfp_r2_1024,649,983,7.99388532641031
CHEMBL1835,maccs_keys,649,143,5.100782476149039
CHEMBL1836,embed,520,16,2.69389302496596
CHEMBL1836,mfp_r2_1024,520,932,7.110887183993766
CHEMBL1836,maccs_keys,520,134,5.123588367394893
CHEMBL1841,embed,399,16,2.7437313266132164
CHEMBL1841,mfp_r2_1024,399,998,8.541405367575521
CHEMBL1841,maccs_keys,399,147,6.906714673491813
CHEMBL1844,embed,1189,16,2.800807107299602
CHEMBL1844,mfp_r2_1024,1189,1020,7.892325485459252
CHEMBL1844,maccs_keys,1189,140,6.383251659393562
CHEMBL1849,embed,239,16,2.202193877629816
CHEMBL1849,mfp_r2_1024,239,828,6.359132282249347
CHEMBL1849,maccs_keys,239,138,4.10186866661917
CHEMBL1850,embed,248,16,2.554409798995891
CHEMBL1850,mfp_r2_1024,248,782,6.613476118074428
CHEMBL1850,maccs_keys,248,140,5.393165088769969
CHEMBL1855,embed,852,16,2.551705237947743
CHEMBL1855,mfp_r2_1024,852,984,5.403410698845854
CHEMBL1855,maccs_keys,852,132,5.084316284133409
CHEMBL1857,embed,97,16,2.3587097481241432
CHEMBL1857,mfp_r2_1024,97,507,5.8706467955933945
CHEMBL1857,maccs_keys,97,126,3.3812638291554182
CHEMBL1861,embed,59,16,1.523347175755107
CHEMBL1861,mfp_r2_1024,59,274,6.537452842467826
CHEMBL1861,maccs_keys,59,88,1.750738013486512
CHEMBL1862,embed,1395,16,2.643512939468069
CHEMBL1862,mfp_r2_1024,1395,1021,8.597129548767263
CHEMBL1862,maccs_keys,1395,146,6.636054155206054
CHEMBL1864,embed,176,16,2.5398751124832937
CHEMBL1864,mfp_r2_1024,176,639,6.134503487811385
CHEMBL1864,maccs_keys,176,131,3.6702449082920063
CHEMBL1865,embed,2112,16,2.6796322722118644
CHEMBL1865,mfp_r2_1024,2112,1023,8.370024427350696
CHEMBL1865,maccs_keys,2112,152,7.06097110429018
CHEMBL1867,embed,562,16,2.710495058473865
CHEMBL1867,mfp_r2_1024,562,1001,7.817245783824856
CHEMBL1867,maccs_keys,562,143,5.808702973482724
CHEMBL1868,embed,820,16,3.378426593057399
CHEMBL1868,mfp_r2_1024,820,1008,7.44365832878283
CHEMBL1868,maccs_keys,820,141,6.887635975836738
CHEMBL1871,embed,1568,16,1.783799075061285
CHEMBL1871,mfp_r2_1024,1568,1021,7.95201383535142
CHEMBL1871,maccs_keys,1568,145,6.11378826364819
CHEMBL1873,embed,350,16,2.5887640666930003
CHEMBL1873,mfp_r2_1024,350,937,6.994966688198784
CHEMBL1873,maccs_keys,350,139,4.748620066986265
CHEMBL1875,embed,240,16,2.6834258069180783
CHEMBL1875,mfp_r2_1024,240,741,6.06604671371535
CHEMBL1875,maccs_keys,240,131,4.412275257355359
CHEMBL1881,embed,268,16,2.658767863465828
CHEMBL1881,mfp_r2_1024,268,832,6.731387232870661
CHEMBL1881,maccs_keys,268,131,4.563110709676639
CHEMBL1889,embed,546,16,2.562747284073178
CHEMBL1889,mfp_r2_1024,546,968,5.002365352229182
CHEMBL1889,maccs_keys,546,145,4.864402022080412
CHEMBL1898,embed,789,16,3.4250528307850447
CHEMBL1898,mfp_r2_1024,789,986,8.382063513671001
CHEMBL1898,maccs_keys,789,139,5.936331443027721
CHEMBL1899,embed,309,16,3.435968574930993
CHEMBL1899,mfp_r2_1024,309,912,6.193662374996275
CHEMBL1899,maccs_keys,309,140,5.081192182715936
CHEMBL1900,embed,442,16,2.6614853165713086
CHEMBL1900,mfp_r2_1024,442,900,7.779918857987858
CHEMBL1900,maccs_keys,442,132,4.5540571029523775
CHEMBL1901,embed,251,16,1.8020665239985467
CHEMBL1901,mfp_r2_1024,251,806,5.560895585506835
CHEMBL1901,maccs_keys,251,130,4.477062801432762
CHEMBL1906,embed,566,16,3.045575369891188
CHEMBL1906,mfp_r2_1024,566,955,7.767113104310743
CHEMBL1906,maccs_keys,566,139,5.647921887963835
CHEMBL1908,embed,466,16,2.6872741877677577
CHEMBL1908,mfp_r2_1024,466,860,8.565459512672053
CHEMBL1908,maccs_keys,466,130,4.929660402739342
CHEMBL1913,embed,1022,16,2.756128319903572
CHEMBL1913,mfp_r2_1024,1022,1014,7.755957196050661
CHEMBL1913,maccs_keys,1022,141,6.273542436790615
CHEMBL1914,embed,1704,16,2.758094117401403
CHEMBL1914,mfp_r2_1024,1704,1023,7.964440695881489
CHEMBL1914,maccs_keys,1704,152,6.577442176626373
CHEMBL1916,embed,465,16,2.735021202120377
CHEMBL1916,mfp_r2_1024,465,992,7.488046472509239
CHEMBL1916,maccs_keys,465,142,5.385090420194417
CHEMBL1918,embed,155,16,2.2149344299233182
CHEMBL1918,mfp_r2_1024,155,628,7.559036714739581
CHEMBL1918,maccs_keys,155,133,3.79152696282898
CHEMBL1921,embed,253,16,2.2478409249265425
CHEMBL1921,mfp_r2_1024,253,766,3.917845517634066
CHEMBL1921,maccs_keys,253,119,3.630839781007568
CHEMBL1926,embed,467,16,2.380416337737723
CHEMBL1926,mfp_r2_1024,467,812,8.232930937191858
CHEMBL1926,maccs_keys,467,129,5.695797265644375
CHEMBL1936,embed,877,16,2.674777378538422
CHEMBL1936,mfp_r2_1024,877,1007,8.041823436161812
CHEMBL1936,maccs_keys,877,141,6.6711655738129805
CHEMBL1937,embed,892,16,2.582224854622851
CHEMBL1937,mfp_r2_1024,892,998,7.6512736386114835
CHEMBL1937,maccs_keys,892,149,6.539444324071015
CHEMBL1939,embed,139,16,1.6798157745388056
CHEMBL1939,mfp_r2_1024,139,519,5.89884466245985
CHEMBL1939,maccs_keys,139,124,4.407764032040473
CHEMBL1941,embed,369,16,2.4361627400690264
CHEMBL1941,mfp_r2_1024,369,900,7.681226878037051
CHEMBL1941,maccs_keys,369,145,5.066786035631867
CHEMBL1942,embed,318,16,2.547910269099551
CHEMBL1942,mfp_r2_1024,318,954,7.397131642609301
CHEMBL1942,maccs_keys,318,140,5.003930500176374
